Plätze;ID;Datum;Von;Dauer;Bis;DatumVon;DatumBis;Liga;Heimmannschaft;Gastmannschaft;0;;;;;;;
1,2;9;Fr 06.05.2022;16:00;5;21:00;2022-05-06 16:00;2022-05-06 21:00;S3;Knaben 15 (4er);TC Puchheim;1;;;;;;;
1,2;11;Sa 07.05.2022;09:00;5;14:00;2022-05-07 09:00;2022-05-07 14:00;S4;Bambini 12 (4er);TV Stockdorf II;0;;;;;;;
1,2,3;5;Sa 07.05.2022;14:00;5;19:00;2022-05-07 14:00;2022-05-07 19:00;S2;Herren 40;TF Dachau II;0;;;;;;;
4,5,6;4;So 08.05.2022;10:00;5;15:00;2022-05-08 10:00;2022-05-08 15:00;S3;Damen;TC Gernlinden II;1;;;;;;;
1,2,3;3;So 08.05.2022;14:00;5;19:00;2022-05-08 14:00;2022-05-08 19:00;S3;Herren 50 II;TSV Leitershofen;1;;;;;;;
1,2;9;Fr 13.05.2022;16:00;5;21:00;2022-05-13 16:00;2022-05-13 21:00;S3;Knaben 15 (4er);Münchner Sportclub III;0;;;;;;;
5,6;26;Sa 14.05.2022;09:00;5;14:00;2022-05-14 09:00;2022-05-14 14:00;S3;Juniorinnen 18 (4er);TC Gernlinden;1;;;;;;;
1,2,3;2;Sa 14.05.2022;14:00;5;19:00;2022-05-14 14:00;2022-05-14 19:00;S1;Herren 50;TF Fürstenfeldbruck;1;;;;;;;
5,6;7;Sa 14.05.2022;14:00;5;19:00;2022-05-14 14:00;2022-05-14 19:00;S2;Damen 50 (4er);ASV Dachau;1;;;;;;;
1,2,3;18;So 15.05.2022;10:00;5;15:00;2022-05-15 10:00;2022-05-15 15:00;S4;Herren;TC Lauterbach 1973 II;0;;;;;;;
1,2;10;Fr 20.05.2022;16:00;5;21:00;2022-05-20 16:00;2022-05-20 21:00;S5;Knaben 15 II (4er);TC Gernlinden III;1;;;;;;;
1,2;27;Sa 21.05.2022;09:00;5;14:00;2022-05-21 09:00;2022-05-21 14:00;S3;Junioren 18 (4er);GW Luitpoldpark München III;0;;;;;;;
5,6;6;Sa 21.05.2022;14:00;5;19:00;2022-05-21 14:00;2022-05-21 19:00;S1;Herren 55 (5er);TC Puchheim;0;;;;;;;
1,2,3;2;Sa 21.05.2022;14:00;5;19:00;2022-05-21 14:00;2022-05-21 19:00;S1;Herren 50;TC Scheyern;0;;;;;;;
1,2,3;18;So 22.05.2022;10:00;5;15:00;2022-05-22 10:00;2022-05-22 15:00;S4;Herren;TSV Geiselbullach;1;;;;;;;
1,2,3;5;So 22.05.2022;14:00;5;19:00;2022-05-22 14:00;2022-05-22 19:00;S2;Herren 40;SV Weichs;1;;;;;;;
5,6;12;So 22.05.2022;15:30;3;18:30;2022-05-22 15:30;2022-05-22 18:30;S2;Dunlop Midcourt U10 (4er);TG Germerswang;1;;;;;;;
4,5,6;13;Do 26.05.2022;10:00;5;15:00;2022-05-26 10:00;2022-05-26 15:00;LL2;Damen 40;TSV Oberbeuren;0;;;;;;;
1,2;27;Sa 28.05.2022;09:00;5;14:00;2022-05-28 09:00;2022-05-28 14:00;S3;Junioren 18 (4er);TSV Moosach München;1;;;;;;;
5,6;11;Sa 28.05.2022;09:00;5;14:00;2022-05-28 09:00;2022-05-28 14:00;S4;Bambini 12 (4er);TC Puchheim III;1;;;;;;;
1,2,3;5;Sa 28.05.2022;14:00;5;19:00;2022-05-28 14:00;2022-05-28 19:00;S2;Herren 40;TV Altomünster;1;;;;;;;
5,6;23;Sa 28.05.2022;14:00;5;19:00;2022-05-28 14:00;2022-05-28 19:00;S4;Herren 30 (4er);TC Puchheim II;1;;;;;;;
1,2;9;Fr 24.06.2022;16:00;5;21:00;2022-06-24 16:00;2022-06-24 21:00;S3;Knaben 15 (4er);Ausstellungspark München II;0;;;;;;;
5,6;26;Sa 25.06.2022;09:00;5;14:00;2022-06-25 09:00;2022-06-25 14:00;S3;Juniorinnen 18 (4er);VfL Egenburg;1;;;;;;;
1,2;27;Sa 25.06.2022;09:00;5;14:00;2022-06-25 09:00;2022-06-25 14:00;S3;Junioren 18 (4er);TC Schleißheim;1;;;;;;;
1,2,3;13;Sa 25.06.2022;13:00;5;18:00;2022-06-25 13:00;2022-06-25 18:00;LL2;Damen 40;TC Gernlinden II;1;;;;;;;
5,6;7;Sa 25.06.2022;14:00;5;19:00;2022-06-25 14:00;2022-06-25 19:00;S2;Damen 50 (4er);SV Lochhausen;1;;;;;;;
1,2,3;6;So 26.06.2022;10:00;5;15:00;2022-06-26 10:00;2022-06-26 15:00;S1;Herren 55 (5er);TC Gernlinden II;0;;;;;;;
4,5,6;4;So 26.06.2022;10:00;5;15:00;2022-06-26 10:00;2022-06-26 15:00;S3;Damen;TC Lauterbach 1973;0;;;;;;;
4,5,6;3;So 26.06.2022;14:00;5;19:00;2022-06-26 14:00;2022-06-26 19:00;S3;Herren 50 II;TC Friedberg III;0;;;;;;;
1,2;12;So 26.06.2022;15:30;3;18:30;2022-06-26 15:30;2022-06-26 18:30;S2;Dunlop Midcourt U10 (4er);TC Fürstenfeldbruck;0;;;;;;;
1,2;10;Fr 01.07.2022;16:00;5;21:00;2022-07-01 16:00;2022-07-01 21:00;S5;Knaben 15 II (4er);TC Mammendorf;1;;;;;;;
1,2,3;13;Sa 02.07.2022;13:00;5;18:00;2022-07-02 13:00;2022-07-02 18:00;LL2;Damen 40;TC Weilheim;0;;;;;;;
5,6;23;Sa 02.07.2022;14:00;5;19:00;2022-07-02 14:00;2022-07-02 19:00;S4;Herren 30 (4er);SV Kottgeisering;0;;;;;;;
4,5,6;4;So 03.07.2022;10:00;5;15:00;2022-07-03 10:00;2022-07-03 15:00;S3;Damen;1. SC Gröbenzell;1;;;;;;;
1,2;7;So 03.07.2022;10:00;5;15:00;2022-07-03 10:00;2022-07-03 15:00;S2;Damen 50 (4er);SV Odelzhausen;1;;;;;;;
1,2;10;Fr 08.07.2022;16:00;5;21:00;2022-07-08 16:00;2022-07-08 21:00;S5;Knaben 15 II (4er);SV Sulzemoos;0;;;;;;;
5,6;26;Sa 09.07.2022;09:00;5;14:00;2022-07-09 09:00;2022-07-09 14:00;S3;Juniorinnen 18 (4er);BC Adelzhausen;1;;;;;;;
1,2;11;Sa 09.07.2022;09:00;5;14:00;2022-07-09 09:00;2022-07-09 14:00;S4;Bambini 12 (4er);TF Dachau II;1;;;;;;;
4,5,6;6;Sa 09.07.2022;14:00;5;19:00;2022-07-09 14:00;2022-07-09 19:00;S1;Herren 55 (5er);TV Hörzhausen;1;;;;;;;
1,2,3;2;Sa 09.07.2022;14:00;5;19:00;2022-07-09 14:00;2022-07-09 19:00;S1;Herren 50;1. SC Gröbenzell;1;;;;;;;
5,6;23;So 10.07.2022;10:00;5;15:00;2022-07-10 10:00;2022-07-10 15:00;S4;Herren 30 (4er);SV Althegnenberg II;0;;;;;;;
1,2,3;18;So 10.07.2022;10:00;5;15:00;2022-07-10 10:00;2022-07-10 15:00;S4;Herren;SV Haspelmoor;0;;;;;;;
1,2;12;So 10.07.2022;15:30;3;18:30;2022-07-10 15:30;2022-07-10 18:30;S2;Dunlop Midcourt U10 (4er);TSV Geiselbullach;0;;;;;;;